,bal0,bal1,bal2,bal3,elev0,elev1,flat_url,floor,hfloor,htype,kitarea,lat,livarea,lon,offertype,overallarea,parktype,price,rdate,roomarea0,roomarea1,roomarea2,roomarea3,rooms,slavnum,ulavnum,view
20,нет,,,,,,http://www.cian.ru/sale/flat/150564358/,2,16,"новостройка,монолитный",,55.523648,39.2,37.510957,свободная,39.2,,3919959,,,0.0,0.0,0.0,1,,,двориулица
21,нет,,,,,,http://www.cian.ru/sale/flat/150564359/,3,16,"новостройка,монолитный",,55.523648,40.2,37.510957,свободная,40.2,,4022010,,,0.0,0.0,0.0,1,,,двориулица
22,,,,,1 пасс,,http://www.cian.ru/sale/flat/149745999/,6,9,"вторичка,панельный",6.7,55.811179,30.0,37.827068,свободная,46.0,наземная,5900000,,18.0,12.0,0.0,0.0,2,1.0,,двор
23,1 лодж,,,,1 пасс,,http://www.cian.ru/sale/flat/151004701/,9,9,"вторичка,панельный",8.0,55.599926,30.0,37.718561,свободная,60.0,наземная,8900000,,17.0,13.0,10.0,0.0,3,1.0,,двориулица
24,1 балк,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/151156539/,14,17,"вторичка,панельный",10.0,55.565442,31.0,37.57872,свободная,52.0,,10000000,,19.0,12.0,0.0,0.0,2,1.0,,
25,нет,,,,1 пасс,,http://www.cian.ru/sale/flat/151545648/,3,6,"вторичка,кирпичный",25.0,55.738769,35.0,37.618255,свободная,65.0,,32000000,,,,0.0,0.0,2,1.0,,улица
26,,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/151080123/,7,12,вторичка,,55.72961,,37.570474,свободная,99.6,,67800480,,,,0.0,0.0,2,,,двориулица
27,1 балк,,,,,,http://www.cian.ru/sale/flat/151015986/,4,5,"вторичка,кирпичный",8.6,55.797655,53.9,37.772756,свободная,73.9,,10290000,,53.9,,,0.0,3,1.0,,
28,1 лодж,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/50326309/,19,22,"новостройка,монолитный",16.3,55.811765,33.9,37.648183,свободная,64.2,,16178400,,17.0,,0.0,0.0,2,,2.0,двор
29,1 балк,,,,1 пасс,,http://www.cian.ru/sale/flat/150719396/,4,8,"вторичка,сталинский",9.5,55.819707,35.0,37.665471,альтернатива,57.0,наземная,11300000,,18.0,17.0,0.0,0.0,2,1.0,,двор
30,,,,,1 пасс,,http://www.cian.ru/sale/flat/150248859/,3,5,"вторичка,кирпичный",7.5,55.78276,36.0,37.590048,альтернатива,62.0,наземная,14000000,,20.0,16.0,0.0,0.0,2,1.0,,двор
31,,,,,,,http://www.cian.ru/sale/flat/151137238/,2,4,"вторичка,кирпично-монолитный",14.0,55.738753,42.0,37.599929,свободная,90.0,подземная,166419360,,24.0,18.0,0.0,0.0,2,,2.0,двор
32,нет,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/151462712/,10,12,"вторичка,панельный",7.0,55.726507,42.7,37.633787,свободная,60.8,,14500000,,,,,0.0,3,,1.0,двориулица
33,нет,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/151462713/,2,14,"вторичка,панельный",9.0,55.682346,19.0,37.58164,свободная,38.0,,7990000,,,0.0,0.0,0.0,1,,1.0,двор
34,1 балк,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/140959701/,10,17,вторичка,10.3,55.827879,48.0,37.59038,альтернатива,76.0,,17250000,,20.0,14.0,14.0,0.0,3,,,двориулица
35,1 балк,,,,,,http://www.cian.ru/sale/flat/151167177/,3,5,"вторичка,панельный",6.0,55.786252,38.0,37.590138,альтернатива,56.0,,10900000,,11.7,18.1,8.1,0.0,3,1.0,,двор
36,1 балк,,,,,,http://www.cian.ru/sale/flat/151143662/,4,5,"вторичка,панельный",6.8,55.803848,19.0,37.788854,свободная,32.0,,5000000,,19.0,0.0,0.0,0.0,1,,1.0,двор
37,1 лодж,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/150809480/,4,14,"вторичка,кирпичный",7.8,55.82933,18.0,37.587299,свободная,36.0,наземная,6000000,,18.0,0.0,0.0,0.0,1,1.0,,двор
38,нет,,,,,,http://www.cian.ru/sale/flat/151559451/,2,5,"вторичка,кирпичный",6.0,55.6823,38.0,37.755015,свободная,56.0,,7200000,,19.0,,,0.0,3,,1.0,двор
39,1 балк,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/151167179/,9,14,"вторичка,панельный",10.0,55.923357,31.0,37.541072,альтернатива,52.0,,7300000,,19.0,12.0,0.0,0.0,2,1.0,,двор
40,,,,,1 пасс,,http://www.cian.ru/sale/flat/2715612/,3,6,"вторичка,сталинский",20.0,55.741287,53.0,37.540156,свободная,92.0,,40063920,,30.0,23.0,,0.0,3,,1.0,двор
41,1 балк,,,,1 пасс,,http://www.cian.ru/sale/flat/150506200/,8,8,"вторичка,кирпичный",14.0,55.747363,27.0,37.594486,свободная,57.0,,22500000,,,,0.0,0.0,2,,1.0,двор
42,1 лодж,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/150768524/,8,19,"новостройка,монолитный",,55.675862,,37.631085,переуступка,79.0,,17949810,"(0, 2016)",,,0.0,0.0,2,,1.0,улица
43,1 балк,,,,1 пасс,,http://www.cian.ru/sale/flat/146936755/,9,9,"вторичка,блочный",5.5,55.730233,21.3,37.771867,свободная,31.7,,4350000,,21.0,0.0,0.0,0.0,1,,1.0,двор
44,1 лодж,,,,,,http://www.cian.ru/sale/flat/151512201/,10,31,"новостройка,монолитный",12.0,55.558626,17.6,37.555508,214,48.5,подземная,5219978,"(4, 2018)",17.0,0.0,0.0,0.0,1,,1.0,
45,нет,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/147637316/,16,22,"вторичка,кирпично-монолитный",11.0,55.699796,55.4,37.500746,свободная,78.0,,35020000,,33.2,,0.0,0.0,2,,2.0,улица
46,,,,,,,http://www.cian.ru/sale/flat/150595679/,2,8,"вторичка,кирпично-монолитный",,55.774472,,37.622145,свободная,116.0,,49900000,,,,,0.0,3,,,
47,1 балк,,,,1 пасс,,http://www.cian.ru/sale/flat/149531379/,8,12,"вторичка,панельный",8.2,55.733452,44.1,37.709147,альтернатива,72.3,,12800000,,20.0,12.0,12.1,0.0,3,1.0,,двориулица
48,1 лодж,,,,1 пасс,,http://www.cian.ru/sale/flat/150856375/,6,9,"вторичка,панельный",6.0,55.668701,29.8,37.649418,свободная,46.7,,7300000,,20.0,,0.0,0.0,2,1.0,,двор
49,1 лодж,,,,1 пасс,,http://www.cian.ru/sale/flat/149952032/,5,9,вторичка,8.2,55.866505,40.0,37.622486,свободная,63.6,,9150000,,17.0,13.0,10.0,0.0,3,1.0,,двор
50,1 балк,,,,,,http://www.cian.ru/sale/flat/150595672/,7,17,"вторичка,кирпично-монолитный",13.0,55.684402,87.0,37.578244,свободная,137.0,,50000000,,,,,,5,,,двор
51,нет,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/149278949/,10,17,вторичка,8.5,55.844708,19.0,37.356199,альтернатива,39.0,,6300000,,19.0,0.0,0.0,0.0,1,,1.0,улица
52,,,,,,,http://www.cian.ru/sale/flat/151330782/,44,55,"вторичка,монолитный",20.0,55.723237,70.0,37.527903,свободная,105.0,,50600000,,,,,0.0,3,,,
53,,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/150658709/,2,17,"вторичка,панельный",10.5,55.813455,20.0,37.650127,свободная,40.0,подземная,10000000,,20.0,,0.0,0.0,2,,1.0,улица
54,,,,,,,http://www.cian.ru/sale/flat/151330780/,34,55,"вторичка,монолитный",20.0,55.7245,65.0,37.526339,свободная,99.0,,45303048,,,,0.0,0.0,2,,,
55,,,,,,,http://www.cian.ru/sale/flat/151330787/,7,55,"вторичка,монолитный",20.0,55.723237,90.0,37.527903,свободная,131.0,,49000000,,,,,,4,,,
56,1 балк,,,,1 пасс,,http://www.cian.ru/sale/flat/140519769/,3,7,"вторичка,сталинский",7.7,55.729326,34.0,37.754682,свободная,60.0,,8900000,,21.0,,0.0,0.0,2,1.0,,двор
57,1 лодж,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/151896482/,13,13,"вторичка,кирпичный",,55.722142,113.0,37.618569,свободная,113.3,,64650000,,113.0,,,,свободнаяпланировкавЖК«Английскийквартал»,1.0,1.0,двор
58,нет,,,,,,http://www.cian.ru/sale/flat/51753739/,1,5,"вторичка,панельный",6.0,55.804106,27.0,37.784955,альтернатива,43.5,,6100000,,18.0,9.0,0.0,0.0,2,1.0,,двор
59,нет,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/39003269/,19,37,"новостройка,монолитный",,55.760844,112.0,37.512353,свободная,112.0,,38589304,,,,,,4,1.0,,двор
60,1 балк,,,,1 пасс,,http://www.cian.ru/sale/flat/150565006/,12,12,"вторичка,блочный",,55.81476,27.0,37.816711,свободная,35.2,,5600000,,20.0,0.0,0.0,0.0,1,,1.0,
61,1 лодж,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/149780411/,10,16,"вторичка,панельный",9.6,55.790767,19.4,37.638377,свободная,35.0,наземная,8400000,,19.0,0.0,0.0,0.0,1,,1.0,улица
