,bal0,bal1,bal2,bal3,bal4,bal5,bal6,elev0,elev1,floor,hfloor,htype,kitarea,lat,livarea,lon,offertype,overallarea,parktype,price,rdate,roomarea0,roomarea1,roomarea2,roomarea3,roomarea4,roomarea5,roomarea6,rooms,slavnum,ulavnum,view
354,1 лодж,,,,,,,1 пасс,1 груз,7,14,"вторичка,панельный",10.0,55.642662,30.0,37.349749,альтернатива,52.5,,7800000,,18.0,12.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двориулица
355,1 лодж,,,,,,,1 пасс,1 груз,14,21,новостройка,,55.87875,,37.538587,свободная,33.8,,5189483,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двориулица
356,,,,,,,,1 пасс,1 груз,1,8,новостройка,,55.78112,,37.570296,свободная,36.2,,9326650,"(4, 2017)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,,двориулица
357,1 лодж,,,,,,,2 пасс,,2,12,"вторичка,панельный",6.1,55.775763,23.2,37.726017,свободная,38.0,наземная,6800000,,13.0,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
358,1 балк,,,,,,,1 пасс,1 груз,17,17,"вторичка,панельный",9.0,55.611323,19.0,37.759641,свободная,39.0,подземная,5690000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
359,1 лодж,,,,,,,1 пасс,1 груз,3,16,"вторичка,кирпично-монолитный",20.0,55.75396,85.0,37.620393,свободная,112.5,подземная,73000000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,двориулица
360,1 балк,,,,,,,1 пасс,,5,5,"вторичка,кирпичный",6.0,55.794345,40.4,37.695636,альтернатива,55.3,,11990000,,,,,0.0,0.0,0.0,0.0,3,,1.0,двориулица
361,2 лодж,,,,,,,2 пасс,2 груз,16,28,"вторичка,монолитный",25.0,55.646899,48.0,37.479699,свободная,100.0,многоуровневая,26200000,,,,,0.0,0.0,0.0,0.0,3,,2.0,двориулица
362,,,,,,,,1 пасс,,6,9,вторичка,6.0,55.888881,29.0,37.613099,свободная,45.0,наземная,6500000,,19.0,10.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
363,1 лодж,,,,,,,1 пасс,,3,12,"вторичка,панельный",7.5,55.581225,19.0,37.647468,свободная,36.0,наземная,4700000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
364,нет,,,,,,,1 пасс,1 груз,6,25,"новостройка,панельный",8.0,55.588738,29.1,37.603023,свободная,46.4,,7080640,,13.0,,0.0,0.0,0.0,0.0,0.0,2,,1.0,улица
365,,,,,,,,1 пасс,1 груз,10,14,вторичка,,55.786703,,37.617474,свободная,153.6,,93000000,,,,,,0.0,0.0,0.0,4,,,двориулица
366,1 лодж,,,,,,,1 пасс,,4,9,"вторичка,панельный",6.0,55.872698,34.0,37.562703,свободная,50.0,,6750000,,14.0,,,0.0,0.0,0.0,0.0,3,1.0,,двор
367,нет,,,,,,,1 пасс,,2,9,вторичка,,55.846977,27.0,37.425225,свободная,37.0,,5100000,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
368,,,,,,,,,,6,9,вторичка,6.7,55.698203,32.0,37.807629,свободная,45.0,,5400000,,,,0.0,0.0,0.0,0.0,0.0,2,,,улица
369,,,,,,,,4 пасс,4 груз,6,33,"вторичка,монолитный",20.0,55.652903,35.0,37.473033,свободная,60.0,подземная,23500000,,20.0,15.0,0.0,0.0,0.0,0.0,0.0,2,,2.0,двориулица
370,,,,,,,,2 пасс,1 груз,13,23,"новостройка,монолитный",13.0,55.867112,18.0,37.684748,предварительный,44.6,подземная,8779974,"(0, 0)",18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
371,1 лодж,,,,,,,2 пасс,1 груз,13,25,"новостройка,монолитный",7.0,55.7003,15.8,37.925809,214,32.6,,3708800,"(1, 2017)",15.8,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
372,1 лодж,,,,,,,2 пасс,,10,14,вторичка,6.0,55.625755,24.4,37.594962,альтернатива,39.0,наземная,7200000,,13.0,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
373,,,,,,,,3 пасс,1 груз,4,32,вторичка,20.0,55.806241,90.0,37.545294,свободная,118.0,,28990000,,20.0,20.0,15.0,15.0,0.0,0.0,0.0,4,1.0,1.0,двориулица
374,1 балк,,,,,,,1 пасс,1 груз,4,22,"новостройка,монолитный",15.6,55.622766,14.0,37.706353,свободная,41.6,,6527040,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
375,,,,,,,,,,1,5,"вторичка,сталинский",8.0,55.611256,18.4,37.300566,свободная,33.6,,4000000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
376,нет,,,,,,,2 пасс,1 груз,3,24,"вторичка,кирпично-монолитный",9.0,55.681681,18.0,37.518147,альтернатива,38.0,,10000000,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
377,нет,,,,,,,,,1,9,"вторичка,панельный",6.0,55.72486,38.0,37.809596,альтернатива,57.0,,6500000,,,,,0.0,0.0,0.0,0.0,3,1.0,,
378,1 балк,,,,,,,1 пасс,,12,12,"вторичка,панельный",7.0,55.611668,30.0,37.70691,свободная,45.0,наземная,6900000,,,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
379,1 балк,,,,,,,1 пасс,1 груз,3,12,"вторичка,панельный",10.0,55.825735,20.4,37.579924,свободная,36.7,,6050000,,20.4,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
380,,,,,,,,1 пасс,,1,5,"вторичка,панельный",9.0,55.689623,33.0,37.564033,свободная,54.0,наземная,8800000,,20.0,13.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
381,нет,,,,,,,1 пасс,,4,12,"вторичка,панельный",7.0,55.584889,33.0,37.654143,свободная,47.0,наземная,6000000,,16.0,17.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
382,1 лодж,,,,,,,2 пасс,2 груз,16,25,вторичка,10.1,55.72235,19.7,37.908564,свободная,44.4,,5600000,,19.7,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
